"sourceId","tradition","branch","title","publisher","institution","sourceUrl","sourceType","language","originalLanguage","sourceVersion","checksum","licenseStatus","licenseEvidence","provenance","expectedUsage","sourceText","chunks","passage","sourceFingerprint","reviewStatus","reviewChecklist","completedReviews","nextReview","reviewDecision","reviewNotes"
"protestant:webp-a-track-v1:php:4:6-7","protestant","general","World English Bible — Philippians 4:6-7","eBible.org","eBible.org","https://ebible.org/Scriptures/engwebp_vpl.zip","bible","en-US","he/el","engwebp-vpl-sha256-f08d13b4f0701108","115a2e3b23c98432283aeaff9c7698d1e7ffd888d89d1b701a4d553736875985","public_domain","Publisher public-domain dedication: https://ebible.org/engwebp/copyright.htm ; archived engwebp_about.htm. Preserve original wording when using the World English Bible name. Human license review is pending.","Official eBible.org engwebp Protestant edition VPL. Archive SHA256=f08d13b4f0701108f7b9f95d57c201649f37c36359f707c8cf1876538a84d750; entry engwebp_vpl.txt SHA256=71ea1ce60dac8780a16d908f6035fa3595ecc9459acf636de5d1c5023214f240. Exact selected VPL lines; only LF line endings normalized. No Korean translation.","A-track English passage pilot; Korean manual discovery tags only. Context, tradition and safety review required; no clinical promises.","In nothing be anxious, but in everything, by prayer and petition with thanksgiving, let your requests be made known to God. And the peace of God, which surpasses all understanding, will guard your hearts and your thoughts in Christ Jesus.","[{""text"":""In nothing be anxious, but in everything, by prayer and petition with thanksgiving, let your requests be made known to God. And the peace of God, which surpasses all understanding, will guard your hearts and your thoughts in Christ Jesus."",""location"":{""unit"":""paragraph"",""index"":0,""start"":0,""end"":238}}]","{""book"":""Philippians"",""chapter"":4,""verseStart"":6,""verseEnd"":7,""emotionTags"":[""anxiety""],""conceptTags"":[""prayer"",""peace""]}","dd046b217f6922f9fe2c10757d912b6a0eb019b8f021ea34365763f853494148","candidate","{""version"":""expert-v1"",""tradition"":""protestant"",""focus"":""개신교: 지정 교단·번역본·목회적 해석의 범위를 확인"",""roles"":{""licenseReviewer"":{""checklist"":[""licenseEvidence"",""permittedUsage"",""sourceIdentity""],""decision"":null,""notes"":""""},""contentReviewer"":{""checklist"":[""sourceAccuracy"",""quotationContext"",""chunkBoundaries""],""decision"":null,""notes"":""""},""traditionExpert"":{""checklist"":[""doctrinalAccuracy"",""traditionConsistency"",""branchBiasDisclosed"",""noInterfaithMixing""],""decision"":null,""notes"":""""},""safetyReviewer"":{""checklist"":[""noAbsolutistPromises"",""psychologicalSafety"",""noTreatmentReplacement""],""decision"":null,""notes"":""""}}}","[]","{""sourceId"":""protestant:webp-a-track-v1:php:4:6-7"",""sourceFingerprint"":""dd046b217f6922f9fe2c10757d912b6a0eb019b8f021ea34365763f853494148"",""role"":""licenseReviewer"",""reviewer"":"""",""reviewedAt"":null,""decision"":null,""notes"":"""",""checklist"":{""licenseEvidence"":false,""permittedUsage"":false,""sourceIdentity"":false}}","",""
"protestant:webp-a-track-v1:mat:6:34-34","protestant","general","World English Bible — Matthew 6:34","eBible.org","eBible.org","https://ebible.org/Scriptures/engwebp_vpl.zip","bible","en-US","he/el","engwebp-vpl-sha256-f08d13b4f0701108","bc31be84e3eec5e06e68a280d01c85524bf6bc50cd8e09e0082d741730e8d594","public_domain","Publisher public-domain dedication: https://ebible.org/engwebp/copyright.htm ; archived engwebp_about.htm. Preserve original wording when using the World English Bible name. Human license review is pending.","Official eBible.org engwebp Protestant edition VPL. Archive SHA256=f08d13b4f0701108f7b9f95d57c201649f37c36359f707c8cf1876538a84d750; entry engwebp_vpl.txt SHA256=71ea1ce60dac8780a16d908f6035fa3595ecc9459acf636de5d1c5023214f240. Exact selected VPL lines; only LF line endings normalized. No Korean translation.","A-track English passage pilot; Korean manual discovery tags only. Context, tradition and safety review required; no clinical promises.","Therefore don’t be anxious for tomorrow, for tomorrow will be anxious for itself. Each day’s own evil is sufficient.","[{""text"":""Therefore don’t be anxious for tomorrow, for tomorrow will be anxious for itself. Each day’s own evil is sufficient."",""location"":{""unit"":""paragraph"",""index"":0,""start"":0,""end"":116}}]","{""book"":""Matthew"",""chapter"":6,""verseStart"":34,""verseEnd"":34,""emotionTags"":[""anxiety""],""conceptTags"":[""trust""]}","89bc58e2b08ab0746afe18bc2740db18f32a449cf783df43cef8f39188dd4b8a","candidate","{""version"":""expert-v1"",""tradition"":""protestant"",""focus"":""개신교: 지정 교단·번역본·목회적 해석의 범위를 확인"",""roles"":{""licenseReviewer"":{""checklist"":[""licenseEvidence"",""permittedUsage"",""sourceIdentity""],""decision"":null,""notes"":""""},""contentReviewer"":{""checklist"":[""sourceAccuracy"",""quotationContext"",""chunkBoundaries""],""decision"":null,""notes"":""""},""traditionExpert"":{""checklist"":[""doctrinalAccuracy"",""traditionConsistency"",""branchBiasDisclosed"",""noInterfaithMixing""],""decision"":null,""notes"":""""},""safetyReviewer"":{""checklist"":[""noAbsolutistPromises"",""psychologicalSafety"",""noTreatmentReplacement""],""decision"":null,""notes"":""""}}}","[]","{""sourceId"":""protestant:webp-a-track-v1:mat:6:34-34"",""sourceFingerprint"":""89bc58e2b08ab0746afe18bc2740db18f32a449cf783df43cef8f39188dd4b8a"",""role"":""licenseReviewer"",""reviewer"":"""",""reviewedAt"":null,""decision"":null,""notes"":"""",""checklist"":{""licenseEvidence"":false,""permittedUsage"":false,""sourceIdentity"":false}}","",""
"protestant:webp-a-track-v1:1pe:5:7-7","protestant","general","World English Bible — 1 Peter 5:7","eBible.org","eBible.org","https://ebible.org/Scriptures/engwebp_vpl.zip","bible","en-US","he/el","engwebp-vpl-sha256-f08d13b4f0701108","7e56c3b97871b3dc176251bd61365ef85b5088feebd5b18b34205fc511a17930","public_domain","Publisher public-domain dedication: https://ebible.org/engwebp/copyright.htm ; archived engwebp_about.htm. Preserve original wording when using the World English Bible name. Human license review is pending.","Official eBible.org engwebp Protestant edition VPL. Archive SHA256=f08d13b4f0701108f7b9f95d57c201649f37c36359f707c8cf1876538a84d750; entry engwebp_vpl.txt SHA256=71ea1ce60dac8780a16d908f6035fa3595ecc9459acf636de5d1c5023214f240. Exact selected VPL lines; only LF line endings normalized. No Korean translation.","A-track English passage pilot; Korean manual discovery tags only. Context, tradition and safety review required; no clinical promises.","casting all your worries on him, because he cares for you.","[{""text"":""casting all your worries on him, because he cares for you."",""location"":{""unit"":""paragraph"",""index"":0,""start"":0,""end"":58}}]","{""book"":""1 Peter"",""chapter"":5,""verseStart"":7,""verseEnd"":7,""emotionTags"":[""anxiety""],""conceptTags"":[""comfort"",""love""]}","9cb30e0ed4b57ad7d1292f826555730ab65e322fe54ea7f367c6de6d69b8d6ef","candidate","{""version"":""expert-v1"",""tradition"":""protestant"",""focus"":""개신교: 지정 교단·번역본·목회적 해석의 범위를 확인"",""roles"":{""licenseReviewer"":{""checklist"":[""licenseEvidence"",""permittedUsage"",""sourceIdentity""],""decision"":null,""notes"":""""},""contentReviewer"":{""checklist"":[""sourceAccuracy"",""quotationContext"",""chunkBoundaries""],""decision"":null,""notes"":""""},""traditionExpert"":{""checklist"":[""doctrinalAccuracy"",""traditionConsistency"",""branchBiasDisclosed"",""noInterfaithMixing""],""decision"":null,""notes"":""""},""safetyReviewer"":{""checklist"":[""noAbsolutistPromises"",""psychologicalSafety"",""noTreatmentReplacement""],""decision"":null,""notes"":""""}}}","[]","{""sourceId"":""protestant:webp-a-track-v1:1pe:5:7-7"",""sourceFingerprint"":""9cb30e0ed4b57ad7d1292f826555730ab65e322fe54ea7f367c6de6d69b8d6ef"",""role"":""licenseReviewer"",""reviewer"":"""",""reviewedAt"":null,""decision"":null,""notes"":"""",""checklist"":{""licenseEvidence"":false,""permittedUsage"":false,""sourceIdentity"":false}}","",""
"protestant:webp-a-track-v1:psa:56:3-3","protestant","general","World English Bible — Psalms 56:3","eBible.org","eBible.org","https://ebible.org/Scriptures/engwebp_vpl.zip","bible","en-US","he/el","engwebp-vpl-sha256-f08d13b4f0701108","b356c9da9a017f840dfffb49fc03b47aa464a034bf6670da340de29f16e050e9","public_domain","Publisher public-domain dedication: https://ebible.org/engwebp/copyright.htm ; archived engwebp_about.htm. Preserve original wording when using the World English Bible name. Human license review is pending.","Official eBible.org engwebp Protestant edition VPL. Archive SHA256=f08d13b4f0701108f7b9f95d57c201649f37c36359f707c8cf1876538a84d750; entry engwebp_vpl.txt SHA256=71ea1ce60dac8780a16d908f6035fa3595ecc9459acf636de5d1c5023214f240. Exact selected VPL lines; only LF line endings normalized. No Korean translation.","A-track English passage pilot; Korean manual discovery tags only. Context, tradition and safety review required; no clinical promises.","When I am afraid, I will put my trust in you.","[{""text"":""When I am afraid, I will put my trust in you."",""location"":{""unit"":""paragraph"",""index"":0,""start"":0,""end"":45}}]","{""book"":""Psalms"",""chapter"":56,""verseStart"":3,""verseEnd"":3,""emotionTags"":[""fear""],""conceptTags"":[""trust""]}","196c9e5a481cdaa1916aca49484907c8fb0b2e1e5c19672aecd474db08430dc5","candidate","{""version"":""expert-v1"",""tradition"":""protestant"",""focus"":""개신교: 지정 교단·번역본·목회적 해석의 범위를 확인"",""roles"":{""licenseReviewer"":{""checklist"":[""licenseEvidence"",""permittedUsage"",""sourceIdentity""],""decision"":null,""notes"":""""},""contentReviewer"":{""checklist"":[""sourceAccuracy"",""quotationContext"",""chunkBoundaries""],""decision"":null,""notes"":""""},""traditionExpert"":{""checklist"":[""doctrinalAccuracy"",""traditionConsistency"",""branchBiasDisclosed"",""noInterfaithMixing""],""decision"":null,""notes"":""""},""safetyReviewer"":{""checklist"":[""noAbsolutistPromises"",""psychologicalSafety"",""noTreatmentReplacement""],""decision"":null,""notes"":""""}}}","[]","{""sourceId"":""protestant:webp-a-track-v1:psa:56:3-3"",""sourceFingerprint"":""196c9e5a481cdaa1916aca49484907c8fb0b2e1e5c19672aecd474db08430dc5"",""role"":""licenseReviewer"",""reviewer"":"""",""reviewedAt"":null,""decision"":null,""notes"":"""",""checklist"":{""licenseEvidence"":false,""permittedUsage"":false,""sourceIdentity"":false}}","",""
"protestant:webp-a-track-v1:isa:41:10-10","protestant","general","World English Bible — Isaiah 41:10","eBible.org","eBible.org","https://ebible.org/Scriptures/engwebp_vpl.zip","bible","en-US","he/el","engwebp-vpl-sha256-f08d13b4f0701108","7b2c36abd4800c29b409567168a8ff8ab5646328a3886fcd3617efe3a12658c6","public_domain","Publisher public-domain dedication: https://ebible.org/engwebp/copyright.htm ; archived engwebp_about.htm. Preserve original wording when using the World English Bible name. Human license review is pending.","Official eBible.org engwebp Protestant edition VPL. Archive SHA256=f08d13b4f0701108f7b9f95d57c201649f37c36359f707c8cf1876538a84d750; entry engwebp_vpl.txt SHA256=71ea1ce60dac8780a16d908f6035fa3595ecc9459acf636de5d1c5023214f240. Exact selected VPL lines; only LF line endings normalized. No Korean translation.","A-track English passage pilot; Korean manual discovery tags only. Context, tradition and safety review required; no clinical promises.","Don’t you be afraid, for I am with you. Don’t be dismayed, for I am your God. I will strengthen you. Yes, I will help you. Yes, I will uphold you with the right hand of my righteousness.","[{""text"":""Don’t you be afraid, for I am with you. Don’t be dismayed, for I am your God. I will strengthen you. Yes, I will help you. Yes, I will uphold you with the right hand of my righteousness."",""location"":{""unit"":""paragraph"",""index"":0,""start"":0,""end"":186}}]","{""book"":""Isaiah"",""chapter"":41,""verseStart"":10,""verseEnd"":10,""emotionTags"":[""fear""],""conceptTags"":[""courage"",""comfort""]}","77f107913afe38893d58dd903c68e7975b2a5fa9e262c8acd80e018fb71a2326","candidate","{""version"":""expert-v1"",""tradition"":""protestant"",""focus"":""개신교: 지정 교단·번역본·목회적 해석의 범위를 확인"",""roles"":{""licenseReviewer"":{""checklist"":[""licenseEvidence"",""permittedUsage"",""sourceIdentity""],""decision"":null,""notes"":""""},""contentReviewer"":{""checklist"":[""sourceAccuracy"",""quotationContext"",""chunkBoundaries""],""decision"":null,""notes"":""""},""traditionExpert"":{""checklist"":[""doctrinalAccuracy"",""traditionConsistency"",""branchBiasDisclosed"",""noInterfaithMixing""],""decision"":null,""notes"":""""},""safetyReviewer"":{""checklist"":[""noAbsolutistPromises"",""psychologicalSafety"",""noTreatmentReplacement""],""decision"":null,""notes"":""""}}}","[]","{""sourceId"":""protestant:webp-a-track-v1:isa:41:10-10"",""sourceFingerprint"":""77f107913afe38893d58dd903c68e7975b2a5fa9e262c8acd80e018fb71a2326"",""role"":""licenseReviewer"",""reviewer"":"""",""reviewedAt"":null,""decision"":null,""notes"":"""",""checklist"":{""licenseEvidence"":false,""permittedUsage"":false,""sourceIdentity"":false}}","",""
"protestant:webp-a-track-v1:deu:31:6-6","protestant","general","World English Bible — Deuteronomy 31:6","eBible.org","eBible.org","https://ebible.org/Scriptures/engwebp_vpl.zip","bible","en-US","he/el","engwebp-vpl-sha256-f08d13b4f0701108","30a8c4ffdd349225f86c19d025c7e27dd7b3d9e0d326c37be971d9b83218571e","public_domain","Publisher public-domain dedication: https://ebible.org/engwebp/copyright.htm ; archived engwebp_about.htm. Preserve original wording when using the World English Bible name. Human license review is pending.","Official eBible.org engwebp Protestant edition VPL. Archive SHA256=f08d13b4f0701108f7b9f95d57c201649f37c36359f707c8cf1876538a84d750; entry engwebp_vpl.txt SHA256=71ea1ce60dac8780a16d908f6035fa3595ecc9459acf636de5d1c5023214f240. Exact selected VPL lines; only LF line endings normalized. No Korean translation.","A-track English passage pilot; Korean manual discovery tags only. Context, tradition and safety review required; no clinical promises.","Be strong and courageous. Don’t be afraid or scared of them, for the LORD your God himself is who goes with you. He will not fail you nor forsake you.”","[{""text"":""Be strong and courageous. Don’t be afraid or scared of them, for the LORD your God himself is who goes with you. He will not fail you nor forsake you.”"",""location"":{""unit"":""paragraph"",""index"":0,""start"":0,""end"":151}}]","{""book"":""Deuteronomy"",""chapter"":31,""verseStart"":6,""verseEnd"":6,""emotionTags"":[""fear"",""loneliness""],""conceptTags"":[""courage"",""trust""]}","afc98696755a8c2036059bb7cba898080c5804e5e313b824c6c4f99ff5ffaeb8","candidate","{""version"":""expert-v1"",""tradition"":""protestant"",""focus"":""개신교: 지정 교단·번역본·목회적 해석의 범위를 확인"",""roles"":{""licenseReviewer"":{""checklist"":[""licenseEvidence"",""permittedUsage"",""sourceIdentity""],""decision"":null,""notes"":""""},""contentReviewer"":{""checklist"":[""sourceAccuracy"",""quotationContext"",""chunkBoundaries""],""decision"":null,""notes"":""""},""traditionExpert"":{""checklist"":[""doctrinalAccuracy"",""traditionConsistency"",""branchBiasDisclosed"",""noInterfaithMixing""],""decision"":null,""notes"":""""},""safetyReviewer"":{""checklist"":[""noAbsolutistPromises"",""psychologicalSafety"",""noTreatmentReplacement""],""decision"":null,""notes"":""""}}}","[]","{""sourceId"":""protestant:webp-a-track-v1:deu:31:6-6"",""sourceFingerprint"":""afc98696755a8c2036059bb7cba898080c5804e5e313b824c6c4f99ff5ffaeb8"",""role"":""licenseReviewer"",""reviewer"":"""",""reviewedAt"":null,""decision"":null,""notes"":"""",""checklist"":{""licenseEvidence"":false,""permittedUsage"":false,""sourceIdentity"":false}}","",""
"protestant:webp-a-track-v1:psa:25:16-16","protestant","general","World English Bible — Psalms 25:16","eBible.org","eBible.org","https://ebible.org/Scriptures/engwebp_vpl.zip","bible","en-US","he/el","engwebp-vpl-sha256-f08d13b4f0701108","e3c73b64e1e6109b829b32f7a305c9055ee7ff4ba887e9ac6494f9cd99f642e1","public_domain","Publisher public-domain dedication: https://ebible.org/engwebp/copyright.htm ; archived engwebp_about.htm. Preserve original wording when using the World English Bible name. Human license review is pending.","Official eBible.org engwebp Protestant edition VPL. Archive SHA256=f08d13b4f0701108f7b9f95d57c201649f37c36359f707c8cf1876538a84d750; entry engwebp_vpl.txt SHA256=71ea1ce60dac8780a16d908f6035fa3595ecc9459acf636de5d1c5023214f240. Exact selected VPL lines; only LF line endings normalized. No Korean translation.","A-track English passage pilot; Korean manual discovery tags only. Context, tradition and safety review required; no clinical promises.","Turn to me, and have mercy on me, for I am desolate and afflicted.","[{""text"":""Turn to me, and have mercy on me, for I am desolate and afflicted."",""location"":{""unit"":""paragraph"",""index"":0,""start"":0,""end"":66}}]","{""book"":""Psalms"",""chapter"":25,""verseStart"":16,""verseEnd"":16,""emotionTags"":[""loneliness""],""conceptTags"":[""grace"",""comfort""]}","f8c4901f009ab24a49e183de2120a49f7f3604da6881720e1bcd60638cd2a59a","candidate","{""version"":""expert-v1"",""tradition"":""protestant"",""focus"":""개신교: 지정 교단·번역본·목회적 해석의 범위를 확인"",""roles"":{""licenseReviewer"":{""checklist"":[""licenseEvidence"",""permittedUsage"",""sourceIdentity""],""decision"":null,""notes"":""""},""contentReviewer"":{""checklist"":[""sourceAccuracy"",""quotationContext"",""chunkBoundaries""],""decision"":null,""notes"":""""},""traditionExpert"":{""checklist"":[""doctrinalAccuracy"",""traditionConsistency"",""branchBiasDisclosed"",""noInterfaithMixing""],""decision"":null,""notes"":""""},""safetyReviewer"":{""checklist"":[""noAbsolutistPromises"",""psychologicalSafety"",""noTreatmentReplacement""],""decision"":null,""notes"":""""}}}","[]","{""sourceId"":""protestant:webp-a-track-v1:psa:25:16-16"",""sourceFingerprint"":""f8c4901f009ab24a49e183de2120a49f7f3604da6881720e1bcd60638cd2a59a"",""role"":""licenseReviewer"",""reviewer"":"""",""reviewedAt"":null,""decision"":null,""notes"":"""",""checklist"":{""licenseEvidence"":false,""permittedUsage"":false,""sourceIdentity"":false}}","",""
"protestant:webp-a-track-v1:jhn:14:18-18","protestant","general","World English Bible — John 14:18","eBible.org","eBible.org","https://ebible.org/Scriptures/engwebp_vpl.zip","bible","en-US","he/el","engwebp-vpl-sha256-f08d13b4f0701108","daaf7ebcb780eb45130db261094107a21e0a7f9e454d839ff3e18715553f9406","public_domain","Publisher public-domain dedication: https://ebible.org/engwebp/copyright.htm ; archived engwebp_about.htm. Preserve original wording when using the World English Bible name. Human license review is pending.","Official eBible.org engwebp Protestant edition VPL. Archive SHA256=f08d13b4f0701108f7b9f95d57c201649f37c36359f707c8cf1876538a84d750; entry engwebp_vpl.txt SHA256=71ea1ce60dac8780a16d908f6035fa3595ecc9459acf636de5d1c5023214f240. Exact selected VPL lines; only LF line endings normalized. No Korean translation.","A-track English passage pilot; Korean manual discovery tags only. Context, tradition and safety review required; no clinical promises.","I will not leave you orphans. I will come to you.","[{""text"":""I will not leave you orphans. I will come to you."",""location"":{""unit"":""paragraph"",""index"":0,""start"":0,""end"":49}}]","{""book"":""John"",""chapter"":14,""verseStart"":18,""verseEnd"":18,""emotionTags"":[""loneliness""],""conceptTags"":[""comfort"",""love""]}","b6e6e7d6c7011092f5fec3087c10bd7760bd1d819c0c4d0a3ad3a2a1681b6ed4","candidate","{""version"":""expert-v1"",""tradition"":""protestant"",""focus"":""개신교: 지정 교단·번역본·목회적 해석의 범위를 확인"",""roles"":{""licenseReviewer"":{""checklist"":[""licenseEvidence"",""permittedUsage"",""sourceIdentity""],""decision"":null,""notes"":""""},""contentReviewer"":{""checklist"":[""sourceAccuracy"",""quotationContext"",""chunkBoundaries""],""decision"":null,""notes"":""""},""traditionExpert"":{""checklist"":[""doctrinalAccuracy"",""traditionConsistency"",""branchBiasDisclosed"",""noInterfaithMixing""],""decision"":null,""notes"":""""},""safetyReviewer"":{""checklist"":[""noAbsolutistPromises"",""psychologicalSafety"",""noTreatmentReplacement""],""decision"":null,""notes"":""""}}}","[]","{""sourceId"":""protestant:webp-a-track-v1:jhn:14:18-18"",""sourceFingerprint"":""b6e6e7d6c7011092f5fec3087c10bd7760bd1d819c0c4d0a3ad3a2a1681b6ed4"",""role"":""licenseReviewer"",""reviewer"":"""",""reviewedAt"":null,""decision"":null,""notes"":"""",""checklist"":{""licenseEvidence"":false,""permittedUsage"":false,""sourceIdentity"":false}}","",""
"protestant:webp-a-track-v1:psa:34:18-18","protestant","general","World English Bible — Psalms 34:18","eBible.org","eBible.org","https://ebible.org/Scriptures/engwebp_vpl.zip","bible","en-US","he/el","engwebp-vpl-sha256-f08d13b4f0701108","456a6d43e625cbad25e6c6a4bfba037e4e22a79480b68dff6388117029028cb7","public_domain","Publisher public-domain dedication: https://ebible.org/engwebp/copyright.htm ; archived engwebp_about.htm. Preserve original wording when using the World English Bible name. Human license review is pending.","Official eBible.org engwebp Protestant edition VPL. Archive SHA256=f08d13b4f0701108f7b9f95d57c201649f37c36359f707c8cf1876538a84d750; entry engwebp_vpl.txt SHA256=71ea1ce60dac8780a16d908f6035fa3595ecc9459acf636de5d1c5023214f240. Exact selected VPL lines; only LF line endings normalized. No Korean translation.","A-track English passage pilot; Korean manual discovery tags only. Context, tradition and safety review required; no clinical promises.","The LORD is near to those who have a broken heart, and saves those who have a crushed spirit.","[{""text"":""The LORD is near to those who have a broken heart, and saves those who have a crushed spirit."",""location"":{""unit"":""paragraph"",""index"":0,""start"":0,""end"":93}}]","{""book"":""Psalms"",""chapter"":34,""verseStart"":18,""verseEnd"":18,""emotionTags"":[""sadness""],""conceptTags"":[""comfort""]}","9fc449655a24849bcf5bdce50ccba5cfb32ee44fe69f95c947991a92f49ce306","candidate","{""version"":""expert-v1"",""tradition"":""protestant"",""focus"":""개신교: 지정 교단·번역본·목회적 해석의 범위를 확인"",""roles"":{""licenseReviewer"":{""checklist"":[""licenseEvidence"",""permittedUsage"",""sourceIdentity""],""decision"":null,""notes"":""""},""contentReviewer"":{""checklist"":[""sourceAccuracy"",""quotationContext"",""chunkBoundaries""],""decision"":null,""notes"":""""},""traditionExpert"":{""checklist"":[""doctrinalAccuracy"",""traditionConsistency"",""branchBiasDisclosed"",""noInterfaithMixing""],""decision"":null,""notes"":""""},""safetyReviewer"":{""checklist"":[""noAbsolutistPromises"",""psychologicalSafety"",""noTreatmentReplacement""],""decision"":null,""notes"":""""}}}","[]","{""sourceId"":""protestant:webp-a-track-v1:psa:34:18-18"",""sourceFingerprint"":""9fc449655a24849bcf5bdce50ccba5cfb32ee44fe69f95c947991a92f49ce306"",""role"":""licenseReviewer"",""reviewer"":"""",""reviewedAt"":null,""decision"":null,""notes"":"""",""checklist"":{""licenseEvidence"":false,""permittedUsage"":false,""sourceIdentity"":false}}","",""
"protestant:webp-a-track-v1:mat:5:4-4","protestant","general","World English Bible — Matthew 5:4","eBible.org","eBible.org","https://ebible.org/Scriptures/engwebp_vpl.zip","bible","en-US","he/el","engwebp-vpl-sha256-f08d13b4f0701108","3b9218930d4aa632e3b97a11dc34e92dff505fdc223e34cd56cee14246af8990","public_domain","Publisher public-domain dedication: https://ebible.org/engwebp/copyright.htm ; archived engwebp_about.htm. Preserve original wording when using the World English Bible name. Human license review is pending.","Official eBible.org engwebp Protestant edition VPL. Archive SHA256=f08d13b4f0701108f7b9f95d57c201649f37c36359f707c8cf1876538a84d750; entry engwebp_vpl.txt SHA256=71ea1ce60dac8780a16d908f6035fa3595ecc9459acf636de5d1c5023214f240. Exact selected VPL lines; only LF line endings normalized. No Korean translation.","A-track English passage pilot; Korean manual discovery tags only. Context, tradition and safety review required; no clinical promises.","Blessed are those who mourn, for they shall be comforted.","[{""text"":""Blessed are those who mourn, for they shall be comforted."",""location"":{""unit"":""paragraph"",""index"":0,""start"":0,""end"":57}}]","{""book"":""Matthew"",""chapter"":5,""verseStart"":4,""verseEnd"":4,""emotionTags"":[""sadness""],""conceptTags"":[""comfort""]}","41b9c5cdab5052427918fdc3032960fe2eb1f3c3c34ac8f472ebc68a11ec338f","candidate","{""version"":""expert-v1"",""tradition"":""protestant"",""focus"":""개신교: 지정 교단·번역본·목회적 해석의 범위를 확인"",""roles"":{""licenseReviewer"":{""checklist"":[""licenseEvidence"",""permittedUsage"",""sourceIdentity""],""decision"":null,""notes"":""""},""contentReviewer"":{""checklist"":[""sourceAccuracy"",""quotationContext"",""chunkBoundaries""],""decision"":null,""notes"":""""},""traditionExpert"":{""checklist"":[""doctrinalAccuracy"",""traditionConsistency"",""branchBiasDisclosed"",""noInterfaithMixing""],""decision"":null,""notes"":""""},""safetyReviewer"":{""checklist"":[""noAbsolutistPromises"",""psychologicalSafety"",""noTreatmentReplacement""],""decision"":null,""notes"":""""}}}","[]","{""sourceId"":""protestant:webp-a-track-v1:mat:5:4-4"",""sourceFingerprint"":""41b9c5cdab5052427918fdc3032960fe2eb1f3c3c34ac8f472ebc68a11ec338f"",""role"":""licenseReviewer"",""reviewer"":"""",""reviewedAt"":null,""decision"":null,""notes"":"""",""checklist"":{""licenseEvidence"":false,""permittedUsage"":false,""sourceIdentity"":false}}","",""
